RAJ2000;DEJ2000;logT;logL;AV;logAc;M.S0;logA0;M.P9;logA9;Mm
"h:m:s";"d:m:s";[K];[Lsun];mag;[-];Msun;[yr];Msun;[yr];%
-----------;------------;------;------;------;-----;------;------;------;------;--
05 35 47.02;-05 17 56.91; 3.615; 2.739; 7.263;-5.00;      ;      ;      ;      ; 0
05 35 20.71;-05 21 44.45; 4.251; 2.628; 2.184;-1.31;      ;      ;      ;      ;99
05 35 05.21;-05 14 50.37; 3.768; 1.529; 2.665;-0.53; 2.918; 6.326; 2.850; 5.854;97
05 35 21.32;-05 12 12.74; 3.768; 1.359; 2.027;-0.79; 2.570; 6.469; 2.450; 6.226;70
05 34 49.98;-05 18 44.61; 3.936; 1.625; 2.511;-0.72; 2.342; 6.684; 2.400; 6.434;92
05 34 39.76;-05 24 25.66; 3.662; 1.045; 0.898;-1.57; 1.930; 5.669;      ;      ; 0
05 35 16.97;-05 21 45.42; 3.969; 1.371; 1.345;-0.72; 2.155; 6.941; 2.250; 6.695;99
05 35 05.64;-05 25 19.45; 3.699; 0.926; 0.769;-1.49; 2.515; 6.209; 2.487; 5.667;99
05 35 20.21;-05 20 57.09; 3.780; 1.348; 4.239;-0.22; 2.432; 6.551; 2.400; 6.285;99
05 35 50.46;-05 28 34.89; 3.936; 0.872; 1.570;-0.19;      ;      ;      ;      ;92
05 35 17.94;-05 22 45.48; 3.662; 1.082; 1.890;-0.76; 1.992; 5.639;      ;      ;99
05 34 55.97;-05 23 13.08; 3.675; 1.000; 1.198;-2.25; 2.267; 5.866;      ;      ;99
05 35 10.73;-05 23 44.69; 3.597; 0.824; 0.464;-2.42; 0.697; 4.797;      ;      ;99
05 35 41.98;-05 28 12.78; 3.722; 0.859; 0.879;-0.90; 2.237; 6.508; 2.063; 6.397;97
05 35 18.67;-05 20 33.83; 3.722; 1.136; 3.608;-0.24; 2.723; 6.294; 2.612; 5.868;99
05 34 30.33;-05 27 27.87; 3.780; 0.704; 0.000;-0.81; 1.470; 7.114; 1.455; 7.013; 0
05 35 15.97;-05 39 14.92; 3.746; 0.789; 0.607;-1.44; 1.840; 6.804; 1.775; 6.691; 0
05 35 26.20;-05 27 36.59; 3.753; 0.812; 1.106;-0.81; 1.790; 6.851; 1.775; 6.706;99
05 34 43.59;-05 18 27.64; 3.847; 0.834; 0.476;-5.00; 1.680; 7.161; 1.477; 7.097; 0
05 35 26.34;-05 25 40.11; 3.761; 0.901; 1.665;-0.90; 1.850; 6.827; 1.837; 6.676;99
05 35 15.94;-05 23 49.97; 3.722; 0.941; 2.890;-0.31; 2.372; 6.443; 2.188; 6.287;99
05 35 58.07;-05 12 54.64; 3.768; 1.473; 4.501;-5.00; 2.820; 6.364; 2.713; 5.990; 0
05 35 21.04;-05 23 49.01; 3.706; 0.812; 1.610;-0.74; 2.283; 6.394; 2.125; 6.206;99
05 34 27.70;-05 31 55.32; 3.746; 0.906; 2.081;-0.68; 1.997; 6.714; 1.875; 6.621;
05 34 27.34;-05 24 22.35; 3.726; 0.904; 1.917;-1.05; 2.253; 6.521; 2.075; 6.404; 0
05 34 19.49;-05 27 12.16; 3.754; 0.439; 0.014;-0.45; 1.327; 7.189; 1.305; 7.064;85
05 35 11.62;-05 16 57.74; 3.774; 1.103; 3.308;-0.60; 2.035; 6.743; 1.987; 6.604;99
05 35 26.31;-05 15 11.31; 3.726; 0.492; 0.000;-5.00; 1.605; 6.902; 1.525; 6.844; 0
05 35 17.21;-05 21 31.83; 3.668; 0.894; 2.289;-1.07; 1.970; 5.866; 1.913; 4.781;99
05 35 10.50;-05 26 18.24; 3.722; 0.754; 1.806;-0.70; 2.045; 6.620; 1.837; 6.560;99
05 34 29.25;-05 23 56.78; 3.706; 0.482; 0.165;-5.00; 1.747; 6.731; 1.612; 6.687; 1
05 35 29.83;-05 32 53.51; 3.675; 0.535; 0.772;-0.78; 1.795; 6.336; 1.663; 6.207;97
05 35 23.83;-05 30 47.45; 3.706; 0.510; 0.819;-0.65; 1.790; 6.701; 1.638; 6.664;98
05 35 18.36;-05 22 37.44; 3.722; 0.855; 2.984;-0.45; 2.215; 6.524; 2.050; 6.404;99
05 34 33.95;-05 28 24.50; 3.690; 0.518; 0.640;-1.47; 1.847; 6.526; 1.688; 6.473;93
05 35 15.63;-05 22 56.49; 3.722; 0.914; 2.970;-0.68; 2.328; 6.465; 2.150; 6.316;99
05 35 10.42;-05 38 24.68; 3.761; 0.780; 2.953;-0.30; 1.675; 6.938; 1.712; 6.767;35
05 35 02.39;-05 15 47.98; 3.675; 1.176; 4.257;-0.87; 2.540; 5.712;      ;      ;98
05 35 12.59;-05 23 44.11; 3.706; 0.721; 1.846;-1.02; 2.140; 6.475; 2.013; 6.337;99
05 35 26.99;-05 13 14.54; 3.765; 0.459; 0.157;-5.00; 1.298; 7.237; 1.290; 7.093; 0
05 35 14.68;-05 39 10.95; 3.690; 0.544; 0.996;-0.92; 1.900; 6.499; 1.712; 6.438;95
05 34 45.18;-05 25 04.13; 3.690; 0.670; 1.708;-1.03; 2.075; 6.364; 2.000; 6.127;99
05 35 17.06;-05 23 34.03; 3.706; 0.681; 2.804;-0.30; 2.075; 6.510; 1.825; 6.467;99
05 34 14.48;-05 28 16.82; 3.757; 0.527; 0.758;-5.00; 1.400; 7.130; 1.380; 7.022;70
05 35 26.87;-05 11 07.41; 3.765; 1.332; 4.967;-1.86; 2.545; 6.476; 2.438; 6.230;70
05 35 19.13;-05 20 38.85; 3.914; 0.285; 1.764;-0.12;      ;      ;      ;      ;99
05 35 47.51;-05 16 58.00; 3.809; 0.751; 1.810;-5.00; 1.482; 7.148; 1.447; 7.048; 0
05 34 26.18;-05 24 19.04; 3.609; 0.358; 0.453;-5.00; 0.735; 5.814; 0.790; 5.660;
05 35 15.25;-05 22 56.95; 3.754; 0.644; 2.840;-0.37; 1.558; 7.003; 1.500; 6.941;99
05 35 13.60;-05 30 57.65; 3.639; 0.299; 0.526;-0.83; 1.120; 6.167; 1.155; 6.112;99
05 34 31.51;-05 12 30.20; 3.722; 1.496; 6.793;-0.79; 3.475; 6.001;      ;      ; 0
05 35 00.12;-05 23 01.92; 3.722; 0.556; 2.422;-0.40; 1.737; 6.804; 1.625; 6.741;99
05 35 16.76;-05 24 04.25; 3.624; 0.439; 1.158;-1.55; 0.908; 5.843; 0.960; 5.732;98
05 35 20.16;-05 26 38.95; 3.722; 0.613; 2.414;-0.62; 1.827; 6.744; 1.688; 6.685;99
05 35 18.46;-05 16 37.79; 3.609; 0.223; 0.000;-5.00; 0.733; 5.940; 0.790; 5.860;99
05 35 36.02;-05 12 25.32; 3.690; 0.178; 1.959;-0.14; 1.418; 6.918; 1.327; 6.842;99
05 35 11.50;-05 26 02.32; 3.675; 0.625; 2.489;-0.67; 1.862; 6.234; 1.737; 6.000;99
05 34 35.15;-05 32 10.39; 3.690; 0.449; 1.568;-0.69; 1.773; 6.602; 1.625; 6.567;97
05 34 42.41;-05 12 18.69; 3.706; 0.968; 4.153;-0.89; 2.550; 6.264; 2.487; 5.837;58
05 35 15.55;-05 25 14.14; 3.585; 0.351; 0.900;-1.47; 0.553; 5.742; 0.575; 5.528;99
